source_id,source_type,location,description,date_accessed,notes
S001,code_file,product_committee.py,generate_final_report() function (lines 1258-1432),2025-02-15,Generates final_report.md for committee debates
S002,code_file,product_committee.py,save_artifacts() function (lines 1435-1496),2025-02-15,Saves committee output files
S003,code_file,nodes/judge_node.py,Judge verdict parsing (lines 18-51),2025-02-15,Judge verdict structure and output format
S004,code_file,debate_state.py,DebateState TypedDict definition,2025-02-15,State structure available at verdict stage
S005,code_file,debate_state.py,DebateMessage TypedDict definition,2025-02-15,Message structure for debate history
S006,code_file,workflow/debate_workflow.py,Standard debate workflow,2025-02-15,Integration point for conclusion node
S007,code_file,workflow/document_debate_workflow.py,Document debate workflow,2025-02-15,Integration point for conclusion node
S008,code_file,nodes/base_component.py,BaseComponent class,2025-02-15,Base class for all nodes
S009,code_file,document_debate_cli.py,Role prompt loading (lines 159-178),2025-02-15,Custom role prompt loading logic
S010,directory,prompts/roles/,Role definition files,2025-02-15,TPM, CPO, CFO, CTO, BDM role prompts
S011,code_file,fact_check_node.py,Fact-check validation logic,2025-02-15,How fact-check results are stored
S012,documentation,CLAUDE.md,Project overview and architecture,2025-02-15,High-level system documentation
S013,documentation,E2E_TEST_REPORT.md,End-to-end test results,2025-02-15,Test coverage information
S014,file_example,committee_output/RUN_*/final_report.md,Sample committee report,2025-02-15,Reference for parsing strategy
